trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.07, 'e': 1.0}",20,0,-82.40787130335377,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.07, 'e': 0.93239381990594827}",25,0,-172.64788588070653,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.07, 'e': 0.86935823539880586}",20,0,-42.28783022911088,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.07, 'e': 0.81058424597018708}",35,0,-208.52271855193314,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
5,False,"{'a': 0.07, 'e': 0.75578374145572547}",20,0,-29.34934235107973,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.07, 'e': 0.70468808971871344}",30,0,-134.54456851580298,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.07, 'e': 0.65704681981505675}",20,0,-124.607146396194,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.07, 'e': 0.612626394184416}",30,16,8.264581587542539,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.07, 'e': 0.57120906384881487}",25,0,-79.51830518661343,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.07, 'e': 0.53259180100689718}",20,0,-22.48559121055277,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.07, 'e': 0.49658530379140947}",20,13,11.978018970067472,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.07, 'e': 0.46301306831122807}",35,13,-8.608995576688539,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.07, 'e': 0.43171052342907967}",20,0,-86.37387720797662,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.07, 'e': 0.40252422403363591}",25,13,-13.973289449852414,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.07, 'e': 0.37531109885139952}",25,0,-13.803284902120762,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.07, 'e': 0.34993774911115533}",25,0,-53.657825198069375,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.07, 'e': 0.32627979462303947}",25,8,-5.171782569874724,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.07, 'e': 0.30422126406670402}",20,0,-50.04560152258888,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.07, 'e': 0.28365402649977028}",20,9,-9.826829729889416,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.07, 'e': 0.26447726129982396}",20,9,-8.623714828866218,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.07, 'e': 0.24659696394160643}",20,13,10.778639192862311,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.07, 'e': 0.22992548518672379}",20,9,-44.395156957703094,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.07, 'e': 0.21438110142697794}",25,10,-20.93226504127189,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.07, 'e': 0.19988761407514449}",30,13,-7.97119693547165,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
25,False,"{'a': 0.07, 'e': 0.18637397603940994}",20,6,26.530994374134586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.07, 'e': 0.17377394345044508}",25,10,-22.550684846584115,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.07, 'e': 0.16202575093388072}",25,16,3.234151378485656,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.07, 'e': 0.15107180883637084}",25,14,16.47675634134768,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.07, 'e': 0.14085842092104497}",25,13,19.323936187372052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.07, 'e': 0.13133552114849303}",20,0,29.205013480008592,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.07, 'e': 0.12245642825298191}",25,11,4.4662806793360215,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.07, 'e': 0.11417761691083644}",20,6,11.485824490231398,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.07, 'e': 0.10645850437925281}",20,8,4.188510223083865,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.07, 'e': 0.099261251559645658}",25,8,13.833570633249982,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.07, 'e': 0.092550577510343249}",35,4,29.1744290338268,"{0: 30, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.07, 'e': 0.086293586499370495}",20,0,13.647577215419323,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.07, 'e': 0.080459606749532397}",30,17,21.3292234668655,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.07, 'e': 0.075020040085326936}",20,3,10.990615906390996,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.07, 'e': 0.069948221744655356}",30,15,29.442617598062014,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.07, 'e': 0.065219289668127498}",20,14,12.706416892060018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.07, 'e': 0.060810062625217952}",20,10,17.696650784635235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.07, 'e': 0.056698926579846903}",30,0,36.94889256072881,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.07, 'e': 0.05286572873835034}",20,0,18.769941974043373,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.07, 'e': 0.04929167876046215}",35,22,23.169955295032675,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.07, 'e': 0.045959256649044204}",20,12,15.729705656265402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.07, 'e': 0.042852126867040166}",30,8,40.90188798923024,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.07, 'e': 0.039955058260653896}",25,0,31.089442712245734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
