trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.30457038189226,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.67187816052688,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-249.14835887159714,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.06790116247274,"{0: 8, 1: 5, 2: 9, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.12864172747402,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.39022806312175,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.96532258054722,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.69828695115302,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.34456072808013,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.29140486101127,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.76098456498434,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.0185108002212,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.21004700225083,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.78749337804521,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.57884371238784,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.29860537013035,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.89877752264593,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,5,-106.62668713328556,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.35324267961903,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.85222726470838,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.55212967163843,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.6360312554352,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.74663004050244,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-237.5784726756734,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,4,-59.216393185736706,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.77387758207225,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.66225237678808,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-214.3597056830332,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-256.7237059192757,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.00115537103142,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
