trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",35,0,-193.8302108465451,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.998001}",20,0,-94.31177694938496,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.997002999}",20,0,-150.18178025741813,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.996005996001}",20,0,-103.070180307889,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.995009990004999}",20,0,-110.94107320766201,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.994014980014994}",30,0,-105.07448446440648,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.993020965034979}",25,0,-156.76773462184758,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9920279440699441}",20,0,-194.7181294373251,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.1, 'e': 0.9910359161258742}",25,0,-258.4768504570698,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
10,False,"{'a': 0.1, 'e': 0.9900448802097482}",20,0,-117.68746810855323,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9890548353295385}",30,0,-101.96265758376225,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.988065780494209}",25,0,-88.34290336714713,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9870777147137147}",30,0,-133.81495352710087,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.986090636999001}",25,0,-203.33835093159482,"{0: 9, 1: 8, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.9851045463620021}",20,0,-99.7675690829453,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.98411944181564}",20,0,-23.913126816946857,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.9831353223738244}",20,0,-178.55481599698592,"{0: 6, 1: 5, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.9821521870514506}",20,0,-110.54859436763687,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.9811700348643991}",25,0,-184.00760720803896,"{0: 10, 1: 2, 2: 10, 3: 2, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9801888648295347}",25,0,-348.6056728040415,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 6}",0
21,False,"{'a': 0.1, 'e': 0.9792086759647052}",30,0,-143.1052318039797,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.9782294672887405}",20,0,-105.75531339881094,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.9772512378214517}",20,8,-69.79615684071157,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0.1, 'e': 0.9762739865836303}",25,0,-194.3682681179971,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
25,False,"{'a': 0.1, 'e': 0.9752977125970467}",20,0,-148.77739664547204,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.1, 'e': 0.9743224148844496}",30,0,-141.84711955882094,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.9733480924695651}",20,7,-83.23721836657225,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.9723747443770956}",25,0,-123.23096196515793,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.1, 'e': 0.9714023696327185}",20,0,-101.71126893846686,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.9704309672630859}",20,0,-158.83946704012658,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
31,False,"{'a': 0.1, 'e': 0.9694605362958227}",20,0,-148.61009103598525,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.9684910757595269}",30,7,-175.0872966435118,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 3}",1
33,False,"{'a': 0.1, 'e': 0.9675225846837673}",20,0,-202.08347514292535,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
